ICD10CM:A01    ['MESH:D014435']
ICD10CM:A15    ['MESH:D014397']
ICD10CM:A23    ['MESH:D002006']
ICD10CM:A30    ['MESH:D007918']
ICD10CM:A31    ['MESH:D054312']
ICD10CM:A32    ['MESH:D008088']
ICD10CM:A39    ['MESH:D008585']
ICD10CM:A48    ['MESH:D007877', 'MESH:D012772']
ICD10CM:A49    ['MESH:D001424']
ICD10CM:A69    ['MESH:D008590', 'MESH:D011115']
ICD10CM:A78    ['MESH:D011778']
ICD10CM:A80    ['MESH:D011051']
ICD10CM:A81    ['MESH:D034062', 'MESH:D007562', 'MESH:D016098', 'MESH:D017096']
ICD10CM:A90    ['MESH:D003715']
ICD10CM:A91    ['MESH:D019595']
ICD10CM:A92    ['MESH:D014901']
ICD10CM:A94    ['MESH:D014777']
ICD10CM:A96    ['MESH:D007835']
ICD10CM:B05    ['MESH:D008457']
ICD10CM:B19    ['MESH:D006526']
ICD10CM:B20    ['MESH:D000163', 'MESH:D015658']
ICD10CM:B34    ['MESH:D014777']
ICD10CM:B37    ['MESH:D002180', 'MESH:D002177', 'MESH:D002181']
ICD10CM:B50    ['MESH:D016778']
ICD10CM:B54    ['MESH:D008288']
ICD10CM:B55    ['MESH:D007896', 'MESH:D016773', 'MESH:D007898', 'MESH:D007897']
ICD10CM:B65    ['MESH:D012555']
ICD10CM:B66    ['MESH:D009889']
ICD10CM:B67    ['MESH:D004443']
ICD10CM:B79    ['MESH:D014257']
ICD10CM:C01    ['MESH:D014062']
ICD10CM:C02    ['MESH:D014062']
ICD10CM:C11    ['MESH:D009303']
ICD10CM:C15    ['MESH:D004938']
ICD10CM:C16    ['MESH:D013274']
ICD10CM:C18    ['MESH:D002430', 'MESH:D003110', 'MESH:D015179']
ICD10CM:C20    ['MESH:D012004']
ICD10CM:C22    ['MESH:D008113', 'MESH:D018281', 'MESH:D018197']
ICD10CM:C23    ['MESH:D005706']
ICD10CM:C24    ['MESH:D001650', 'MESH:D001661']
ICD10CM:C25    ['MESH:D010190', 'MESH:D021441']
ICD10CM:C26    ['MESH:D007414', 'MESH:D004067', 'MESH:D005770', 'MESH:D013160']
ICD10CM:C32    ['MESH:D007822']
ICD10CM:C37    ['MESH:D013953']
ICD10CM:C38    ['MESH:D010997', 'MESH:D008479']
ICD10CM:C41    ['MESH:D008339']
ICD10CM:C43    ['MESH:C562393']
ICD10CM:C45    ['MESH:D008654']
ICD10CM:C46    ['MESH:D012514']
ICD10CM:C49    ['MESH:D046152']
ICD10CM:C50    ['MESH:D001943']
ICD10CM:C52    ['MESH:D014625']
ICD10CM:C53    ['MESH:D002583']
ICD10CM:C54    ['MESH:D016889']
ICD10CM:C55    ['MESH:D014594']
ICD10CM:C56    ['MESH:D010051']
ICD10CM:C57    ['MESH:D005833']
ICD10CM:C60    ['MESH:D010412']
ICD10CM:C61    ['MESH:D011471']
ICD10CM:C62    ['MESH:D013736']
ICD10CM:C64    ['MESH:D007680']
ICD10CM:C66    ['MESH:D014516']
ICD10CM:C67    ['MESH:D001749']
