ICD10CM:A48    ['MESH:D007877', 'MESH:D012772']
ICD10CM:A69    ['MESH:D008590', 'MESH:D011115']
ICD10CM:A81    ['MESH:D034062', 'MESH:D007562', 'MESH:D016098', 'MESH:D017096']
ICD10CM:B20    ['MESH:D000163', 'MESH:D015658']
ICD10CM:B37    ['MESH:D002180', 'MESH:D002177', 'MESH:D002181']
ICD10CM:B55    ['MESH:D007896', 'MESH:D016773', 'MESH:D007898', 'MESH:D007897']
ICD10CM:C18    ['MESH:D002430', 'MESH:D003110', 'MESH:D015179']
ICD10CM:C22    ['MESH:D008113', 'MESH:D018281', 'MESH:D018197']
ICD10CM:C24    ['MESH:D001650', 'MESH:D001661']
ICD10CM:C25    ['MESH:D010190', 'MESH:D021441']
ICD10CM:C26    ['MESH:D007414', 'MESH:D004067', 'MESH:D005770', 'MESH:D013160']
ICD10CM:C38    ['MESH:D010997', 'MESH:D008479']
ICD10CM:C71    ['MESH:D001932', 'MESH:D015173', 'MESH:D020295']
ICD10CM:C75    ['MESH:D010282', 'MESH:D010911']
ICD10CM:C84    ['MESH:D012751', 'MESH:D009182']
ICD10CM:C91    ['MESH:D015459', 'MESH:D007945', 'MESH:D015451', 'MESH:D007943']
ICD10CM:C92    ['MESH:D015473', 'MESH:D054438', 'MESH:D007951', 'MESH:D015470']
ICD10CM:C93    ['MESH:D054429', 'MESH:D007951']
ICD10CM:D47    ['MESH:D008232', 'MESH:D005871', 'MESH:D013920', 'MESH:D034721', 'MESH:D008415', 'MESH:D034701', 'MESH:D009196', 'MESH:D055728']
ICD10CM:D56    ['MESH:D017085', 'MESH:D017086']
ICD10CM:D58    ['MESH:D013103', 'MESH:D004612', 'MESH:D006453', 'MESH:D000745']
ICD10CM:D59    ['MESH:D006457', 'MESH:D006463']
ICD10CM:D61    ['MESH:D029502', 'MESH:C537330', 'MESH:D000741', 'MESH:D010198', 'MESH:D029503', 'MESH:D005199']
ICD10CM:D64    ['MESH:D000742', 'MESH:D000740', 'MESH:D000756']
ICD10CM:D65    ['MESH:D004211', 'MESH:D055665']
ICD10CM:D68    ['MESH:D001778', 'MESH:D005166', 'MESH:D005168', 'MESH:D005173', 'MESH:D019851', 'MESH:D020152', 'MESH:D020151', 'MESH:D016736']
ICD10CM:D69    ['MESH:D013915', 'MESH:D055652', 'MESH:D011695', 'MESH:D013921', 'MESH:D006474', 'MESH:D016553']
ICD10CM:D70    ['MESH:D000380', 'MESH:D009503', 'MESH:C536227']
ICD10CM:D72    ['MESH:D002609', 'MESH:D008231', 'MESH:D007970', 'MESH:D007960', 'MESH:D004802']
ICD10CM:D73    ['MESH:D013158', 'MESH:D006971']
ICD10CM:D75    ['MESH:C536842', 'MESH:D055728', 'MESH:D006402', 'MESH:D011086']
ICD10CM:D81    ['MESH:D016511', 'MESH:C562587', 'MESH:D028921', 'MESH:D028922']
ICD10CM:D82    ['MESH:C565820', 'MESH:C567453', 'MESH:D004062']
ICD10CM:D89    ['MESH:D008415', 'MESH:D056735']
ICD10CM:E03    ['MESH:D003409', 'MESH:D007037']
ICD10CM:E05    ['MESH:D006111', 'MESH:D013971', 'MESH:D006980']
ICD10CM:E07    ['MESH:C536648', 'MESH:D013959']
ICD10CM:E16    ['MESH:D006946', 'MESH:D007003']
ICD10CM:E20    ['MESH:D007011', 'MESH:D011547']
ICD10CM:E22    ['MESH:D006966', 'MESH:D007177']
ICD10CM:E23    ['MESH:D017436', 'MESH:D007018', 'MESH:D004393', 'MESH:D003919']
ICD10CM:E24    ['MESH:D047748', 'MESH:D003480', 'MESH:D006929']
ICD10CM:E26    ['MESH:D006929', 'MESH:C563177', 'MESH:D001477', 'MESH:D003480']
ICD10CM:E27    ['MESH:D000224', 'MESH:D000307']
ICD10CM:E28    ['MESH:D011085', 'MESH:D016649']
ICD10CM:E31    ['MESH:D018813', 'MESH:D018814', 'MESH:D018761', 'MESH:D016884']
ICD10CM:E34    ['MESH:D004700', 'MESH:D011371', 'MESH:D013734', 'MESH:D046150']
ICD10CM:E70    ['MESH:D016115', 'MESH:C563156', 'MESH:D002609', 'MESH:D016116', 'MESH:D000474', 'MESH:D020176']
ICD10CM:E71    ['MESH:D054069', 'MESH:D000326', 'MESH:D002549', 'MESH:C536778', 'MESH:D056693', 'MESH:C538167', 'MESH:D018902', 'MESH:D015211', 'MESH:D018901', 'MESH:D008375']
ICD10CM:E72    ['MESH:C535408', 'MESH:D009800', 'MESH:D006250', 'MESH:D006959', 'MESH:D000592', 'MESH:D006712', 'MESH:D003555', 'MESH:D020158', 'MESH:D020163', 'MESH:D020159', 'MESH:D020167', 'MESH:D020162']
ICD10CM:E74    ['MESH:D006014', 'MESH:D006011', 'MESH:D006013', 'MESH:D005693', 'MESH:D006012', 'MESH:D006008', 'MESH:D006010', 'MESH:D005953', 'MESH:D006009', 'MESH:D015324', 'MESH:D015325', 'MESH:D015319', 'MESH:D006030', 'MESH:D005633']
ICD10CM:E75    ['MESH:D007966', 'MESH:D007965', 'MESH:D000795', 'MESH:D009472', 'MESH:D009542', 'MESH:D005776', 'MESH:D013661', 'MESH:D016537', 'MESH:D012497', 'MESH:D008064']
ICD10CM:E76    ['MESH:D016532', 'MESH:D009084', 'MESH:D008059', 'MESH:D016538', 'MESH:D009085']
ICD10CM:E77    ['MESH:D005645', 'MESH:D054880']
ICD10CM:E78    ['MESH:D056889', 'MESH:D008072', 'MESH:C535460', 'MESH:D006949', 'MESH:D006951', 'MESH:D006953', 'MESH:D006950', 'MESH:D006938', 'MESH:D013631', 'MESH:D000012', 'MESH:D007009', 'MESH:D007863', 'MESH:D019082']
ICD10CM:E80    ['MESH:D007566', 'MESH:D011164', 'MESH:D046349', 'MESH:D017092', 'MESH:D046351', 'MESH:D005878', 'MESH:D017119', 'MESH:D003414']
ICD10CM:E83    ['MESH:C537247', 'MESH:D019189', 'MESH:D006934', 'MESH:C562440', 'MESH:D006432', 'MESH:D006527']
ICD10CM:E88    ['MESH:D008659', 'MESH:D019896', 'MESH:D024821', 'MESH:D017243', 'MESH:D008068', 'MESH:D017241', 'MESH:D028361', 'MESH:D008060']
ICD10CM:F20    ['MESH:D011618', 'MESH:D012563', 'MESH:D012559']
ICD10CM:F34    ['MESH:D000275', 'MESH:D003866']
ICD10CM:F41    ['MESH:D001008', 'MESH:D016584']
ICD10CM:F48    ['MESH:D000275', 'MESH:D003866']
ICD10CM:F50    ['MESH:D052018', 'MESH:D001068', 'MESH:D000856']
ICD10CM:F60    ['MESH:D000987', 'MESH:D007174', 'MESH:D010554']
ICD10CM:F63    ['MESH:D007174', 'MESH:D005715']
ICD10CM:F80    ['MESH:D013342', 'MESH:D007806']
ICD10CM:F81    ['MESH:D004410', 'MESH:D007859']
ICD10CM:F84    ['MESH:D020817', 'MESH:D015518', 'MESH:D001321']
ICD10CM:F95    ['MESH:D013981', 'MESH:D005879']
ICD10CM:G03    ['MESH:D008582', 'MESH:D008581']
ICD10CM:G11    ['MESH:C565409', 'MESH:C563702', 'MESH:D015419', 'MESH:C563363']
ICD10CM:G12    ['MESH:D014897', 'MESH:D009134', 'MESH:D016472', 'MESH:D000690', 'MESH:D010244']
ICD10CM:G23    ['MESH:D006211', 'MESH:D013494']
ICD10CM:G24    ['MESH:D020821', 'MESH:D001764', 'MESH:D004421', 'MESH:D020820']
ICD10CM:G25    ['MESH:D012148', 'MESH:D020329']
