ICD10CM:B20	ICD10CM:B55	0.03922	1
ICD10CM:C18	ICD10CM:C22	0.08564	1
ICD10CM:C18	ICD10CM:C24	0.00276	1
ICD10CM:C18	ICD10CM:C25	0.08840	1
ICD10CM:C18	ICD10CM:C26	0.01934	1
ICD10CM:C18	ICD10CM:C71	0.01657	1
ICD10CM:C18	ICD10CM:C84	0.01105	1
ICD10CM:C18	ICD10CM:C91	0.03867	1
ICD10CM:C18	ICD10CM:C92	0.04972	1
ICD10CM:C18	ICD10CM:C93	0.01657	1
ICD10CM:C22	ICD10CM:C24	0.01250	1
ICD10CM:C22	ICD10CM:C25	0.13125	1
ICD10CM:C22	ICD10CM:C26	0.04375	1
ICD10CM:C22	ICD10CM:C71	0.03125	1
ICD10CM:C22	ICD10CM:C75	0.00625	1
ICD10CM:C22	ICD10CM:C84	0.05000	1
ICD10CM:C22	ICD10CM:C91	0.05000	1
ICD10CM:C22	ICD10CM:C92	0.08750	1
ICD10CM:C22	ICD10CM:C93	0.01250	1
ICD10CM:C24	ICD10CM:C25	0.00962	1
ICD10CM:C25	ICD10CM:C26	0.01923	1
ICD10CM:C25	ICD10CM:C71	0.04808	1
ICD10CM:C25	ICD10CM:C75	0.00962	1
ICD10CM:C25	ICD10CM:C84	0.03846	1
ICD10CM:C25	ICD10CM:C91	0.06731	1
ICD10CM:C25	ICD10CM:C92	0.07285	1
ICD10CM:C25	ICD10CM:C93	0.01923	1
ICD10CM:C26	ICD10CM:C75	0.05556	1
ICD10CM:C26	ICD10CM:C84	0.04000	1
ICD10CM:C26	ICD10CM:C91	0.01333	1
ICD10CM:C26	ICD10CM:C92	0.00662	1
ICD10CM:C38	ICD10CM:C71	0.03704	1
ICD10CM:C38	ICD10CM:C93	0.02703	1
ICD10CM:C71	ICD10CM:C84	0.03704	1
ICD10CM:C71	ICD10CM:C91	0.01333	1
ICD10CM:C71	ICD10CM:C92	0.03311	1
ICD10CM:C71	ICD10CM:C93	0.02703	1
ICD10CM:C75	ICD10CM:C84	0.04000	1
ICD10CM:C84	ICD10CM:C91	0.05333	1
ICD10CM:C84	ICD10CM:C92	0.01987	1
ICD10CM:C84	ICD10CM:C93	0.02703	1
ICD10CM:C91	ICD10CM:C92	0.03974	1
ICD10CM:C91	ICD10CM:C93	0.02667	1
ICD10CM:C92	ICD10CM:C93	0.17881	1
ICD10CM:D47	ICD10CM:D59	0.03846	1
ICD10CM:D47	ICD10CM:D61	0.03704	1
ICD10CM:D47	ICD10CM:D64	0.02632	1
ICD10CM:D47	ICD10CM:D68	0.03846	1
ICD10CM:D47	ICD10CM:D69	0.03125	1
ICD10CM:D47	ICD10CM:D70	0.03846	1
ICD10CM:D47	ICD10CM:D72	0.03846	1
ICD10CM:D47	ICD10CM:D75	0.19231	1
ICD10CM:D47	ICD10CM:D89	0.03846	1
ICD10CM:D56	ICD10CM:D58	0.30769	1
ICD10CM:D56	ICD10CM:D59	0.07692	1
ICD10CM:D56	ICD10CM:D61	0.11111	1
ICD10CM:D56	ICD10CM:D64	0.05263	1
ICD10CM:D56	ICD10CM:D69	0.03125	1
ICD10CM:D56	ICD10CM:D75	0.11111	1
ICD10CM:D56	ICD10CM:D81	0.07692	1
ICD10CM:D58	ICD10CM:D61	0.07407	1
ICD10CM:D58	ICD10CM:D75	0.11111	1
ICD10CM:D59	ICD10CM:D61	0.07407	1
ICD10CM:D59	ICD10CM:D64	0.05263	1
ICD10CM:D59	ICD10CM:D69	0.06250	1
ICD10CM:D59	ICD10CM:D70	0.05556	1
ICD10CM:D59	ICD10CM:D72	0.04762	1
ICD10CM:D61	ICD10CM:D64	0.13158	1
ICD10CM:D61	ICD10CM:D69	0.09375	1
ICD10CM:D61	ICD10CM:D70	0.07407	1
ICD10CM:D61	ICD10CM:D72	0.03704	1
ICD10CM:D64	ICD10CM:D68	0.02632	1
ICD10CM:D64	ICD10CM:D69	0.21053	1
ICD10CM:D64	ICD10CM:D70	0.18421	1
ICD10CM:D64	ICD10CM:D72	0.26316	1
ICD10CM:D64	ICD10CM:D75	0.05263	1
ICD10CM:D65	ICD10CM:D68	0.25000	1
ICD10CM:D65	ICD10CM:D69	0.03125	1
ICD10CM:D68	ICD10CM:D69	0.06250	1
ICD10CM:D68	ICD10CM:D70	0.05000	1
ICD10CM:D68	ICD10CM:D72	0.04762	1
ICD10CM:D68	ICD10CM:D75	0.05000	1
ICD10CM:D69	ICD10CM:D70	0.15625	1
ICD10CM:D69	ICD10CM:D72	0.15625	1
ICD10CM:D69	ICD10CM:D75	0.03125	1
ICD10CM:D70	ICD10CM:D72	0.33333	1
ICD10CM:D70	ICD10CM:D75	0.05556	1
ICD10CM:D72	ICD10CM:D75	0.04762	1
ICD10CM:D73	ICD10CM:D75	0.05556	1
ICD10CM:D73	ICD10CM:D89	0.20000	1
ICD10CM:D75	ICD10CM:D89	0.05556	1
ICD10CM:E03	ICD10CM:E05	0.05556	1
ICD10CM:E05	ICD10CM:E16	0.11111	1
ICD10CM:E05	ICD10CM:E71	0.03226	1
ICD10CM:E05	ICD10CM:E78	0.02778	1
ICD10CM:E05	ICD10CM:E88	0.04918	1
ICD10CM:E07	ICD10CM:E72	0.03226	1
ICD10CM:E07	ICD10CM:E88	0.01639	1
ICD10CM:E16	ICD10CM:E28	0.01333	1
